Название;Адрес;Телефон;Часы работы;Сайт
Арк Сервис;Азовская ул., 28Б, стр. 4, Москва;+7 (495) 720-35-13, +7 (903) 720-35-13;ежедневно, 10:00–21:00;https://ark-servis.clients.site/
БизнесБас Сервис;Путевой пр., 15;+7 (495) 661-30-40, +7 (495) 661-30-40;ежедневно, 09:00-21:00;https://bbus-service.ru/
Киа Ремонт Лидер;Можайское ш., 159 к 9, Москва, Россия, 121374;+7 (495) 649-82-18;"вс 10:00-18:00; пн-сб 10:00-20:00";https://kia.remont-lider.ru/
Автопилот;ул. Речников, 19, Москва;+7 (495) 120-20-45;ежедневно, 08:00–21:00;https://честный-автосервис.рф/
Мос-олимп;Ташкентская ул., 28, стр. 1, Москва;+7 (495) 514-38-22;ежедневно, 09:00–20:00;https://olimp-avto.obiz.ru/
Европа-Авто;6-я Радиальная ул., 30, стр. 22, Москва;8 (800) 550-70-64;"пн-пт 10:00–20:00; сб,вс 10:00–18:00";https://autorazborka.shop/
РусКомАвто;ул. Подольских Курсантов, 32, Москва;+7 (901) 417-28-18, +7 (968) 320-15-97, +7 (903) 242-13-42, +7 (966) 030-25-30;пн-пт 09:00–18:00;https://rka.su/
Дизель-форс;Волгоградский просп., 128, корп. 5;+7 (499) 322-91-11, +7 (7172) 78-81-60;пн-пт 09:00–18:00;http://dieselfors.ru/
A1 моторс drive;1-я Дубровская ул., 13А, стр. 4, Москва;+7 (925) 001-08-57, +7 (495) 120-15-38, +7 (499) 110-42-89, +7 (499) 110-42-87;ежедневно, 09:00–21:00;http://a1-motors.ru/
ZFcenter;Алтуфьевское ш., 31, стр. 1, Москва;+7 (926) 209-26-79, +7 (495) 664-41-00;"пн-пт 09:30–18:30; сб 10:00–16:00";http://zfcenter.ru/
Crystal City;Пресненская наб., 8, стр. 1;+7 (495) 644-29-29, +7 (916) 648-80-88;ежедневно, 08:00–22:00;https://crystalcity.ru/
КарС;Алтуфьевское ш., д31 стр1, Москва;+7 (993) 343-55-33, +7 (993) 342-55-33;ежедневно, 09:00-21:00;https://carservice-otradnoe.ru/
Автопилот;Смирновская ул., 2, стр. 1;+7 (495) 120-20-45;ежедневно, 08:00–21:00;https://честный-автосервис.рф/
Форд Транзит Сервис;Рязанский просп., 4, стр. 1, Москва;+7 (905) 767-77-11, +7 (905) 769-77-11;пн-пт 09:00–19:00;https://fordtransit1.ru/
Автодом Сервис Варшавка;Варшавское ш., 91А, Москва;+7 (495) 281-42-14;ежедневно, 09:00–21:00;https://avtodom.ru/actions/servisnoe-obsluzhivanie-avtomobilej-skoda-volkswagen-seat-porsche-v-avtodom-varshavka-i-avtodom-vosto
Н-Джин;Каширское шоссе, 23-й километр, 1, стр. 1, посёлок Совхоза имени Ленина;+7 (495) 118-91-49, +7 (925) 397-00-27;ежедневно, 09:00-21:00;http://n-gin.ru/
Автопилот;1-й пр. Перова Поля, 3, стр. 14;+7 (495) 120-20-45;ежедневно, 08:00–21:00;https://честный-автосервис.рф/
Mirax Detailing Center;Маломосковская ул., 22, стр. 11;+7 (495) 877-37-22;ежедневно, 10:00–20:00;http://www.centermirax.ru/
ГрандАвтоСервис;2-й Кожевнический пер., 12, стр. 10, Москва;+7 (919) 993-25-82;ежедневно, круглосуточно;https://grandavtoservis-2-y-kozhevnicheskiy-pereulok.clients.site/
ИП Ковалев Юрий Вячеславович;Малая Филёвская ул., 18к3, Москва;+7 (925) 168-46-13;ежедневно, круглосуточно;https://msk.spravker.ru/avtootopiteli/spektr-avto-5.htm
Богатырь-Сервис;бул. Генерала Карбышева, 8, стр. 4, Москва;+7 (915) 243-25-57;ежедневно, круглосуточно;https://bogatyr-servis-bulvar-generala-karbysheva.clients.site/
ColdCars;2-й Иртышский пр-д, 6 стр.9, Москва;+7 (495) 789-18-80, +7 (903) 589-18-80;"пн-пт 09:00-19:00; сб, вс 10:00-16:00";https://cold-cars.ru/
Механик;Сигнальный пр-д, 20 строение 3, Москва;+7 (926) 498-82-97, +7 (926) 498-83-01;ежедневно, 10:00-21:00;https://mechanic0077.ru/
Кутузовв;Краснобогатырская ул., 89, стр. 1;+7 (993) 894-80-55, +7 (499) 302-00-57;ежедневно, 09:00–21:00;https://kutuzovv.ru/
Рр-мастер;ул. Свободы, 35, стр. 17, Москва;+7 (916) 595-40-40, +7 (916) 596-40-40;ежедневно, 10:00–21:00;https://rr-master.ru/
Альфа-флит;3-й Нижнелихоборский пр., 1А, Москва;+7 (903) 722-70-08, +7 (495) 722-70-08, +7 (903) 292-01-38;ежедневно, 09:00–19:00;http://www.alfa-servis.com/
Доктор Джип;ш. Энтузиастов, 2, стр. 38А, Москва;+7 (925) 772-33-41, +7 (495) 772-33-41;вт-вс 10:00–20:00;https://www.drjeep.ru/
Ив-Авто;Варшавское ш., 94, Москва;+7 (926) 400-73-00;"пн-пт 10:00–22:00; сб,вс 10:00–21:00";
ПТЦ КомТранс Юг;Дорожная ул., 3, корп. 20, Москва;+7 (495) 775-34-60, +7 (495) 125-02-41;ежедневно, 09:00–21:00;https://ctug.ru/
Бенсер;Новомосковская ул., 1Ж;+7 (499) 490-57-52, +7 (925) 458-25-86;"пн-пт 12:00–20:00; сб,вс 12:00–18:00";https://benser.ru/
NNService;Полярная ул., 31В, стр. 11;+7 (495) 220-35-18, +7 (999) 979-95-38, +7 (985) 220-35-18;пн-сб 10:00–20:00;http://www.nissansto.ru/
АVS-Сервис;Люблинская ул., 82, стр. 1, Москва;+7 (495) 799-59-59, +7 (901) 259-45-32;ежедневно, 09:00–21:00;https://avs.moscow/
Fps Service;2-й Хорошёвский пр., 7, стр. 20;+7 (965) 435-95-95;пн-сб 10:00–22:00;https://fps-service.ru/
Мосавторемонт;Графский пер., 14Б, Москва;+7 (495) 768-71-11, +7 (917) 516-67-77;ежедневно, 09:00–20:00;https://mosavtoremont.ru/
Лр-вест;Рябиновая ул., 28А, стр. 2, Москва;+7 (495) 374-50-67;ежедневно, 09:00–21:00;https://lr-west.ru/
Автосервис33;Варшавское ш., 33, Москва;+7 (495) 295-17-05, +7 (926) 512-68-22;пн-сб 10:00–20:50;https://33service.ru/
Интер-авто;Молодогвардейская ул., 61, стр. 4, Москва;+7 (495) 775-12-77;ежедневно, 09:00–21:00;http://autocenter.moscow/
Спецавтобаза № 1;3-й Угрешский пр., 6, стр. 1, Москва;+7 (499) 702-00-94, +7 (495) 644-49-30, +7 (495) 644-49-35, +7 (495) 156-15-96;пн-пт 09:00–18:00;https://sab1.ru/
АвтоСТАР;ул. Прянишникова, 19А, стр. 2, Москва;+7 (495) 118-22-03;ежедневно, 10:00–20:00;https://avtostar.ru/
РМ-Моторс;Ферганская ул., 6, корп. 2;+7 (903) 539-82-17, +7 (999) 859-34-79, +7 (499) 608-88-48;пн-сб 11:00–21:00;https://rm-motors.clients.site/
АКПП-Центр;1-я ул. Измайловского Зверинца, 8, Москва;+7 (499) 113-38-36;ежедневно, 09:00–21:00;https://akppcenter.com/
АвтоПлюс;Верейская ул., 29, стр. 2, Москва;+7 (901) 519-68-90, +7 (926) 456-60-10, +7 (495) 979-68-90;ежедневно, 10:00–19:00;http://gosttonirovka.ru/
77сто;Рябиновая ул., 28А, стр. 12, Москва;+7 (495) 146-93-78, +7 (901) 519-77-07;ежедневно, 09:00–19:00;https://77sto.ru/
Remont-MKPP.ru;Ильменский пр., 9, стр. 2, Москва;+7 (495) 979-10-47, +7 (909) 624-64-64;ежедневно, 09:00–21:00;https://www.remont-mkpp.ru/
Эйджиси Моторс;Новоостаповская ул., 6А, стр. 4, Москва;+7 (495) 414-46-28;пн-пт 09:00–19:00;http://ajc-motors.ru/
SsangYong Garage;Воробьёвское ш., 2, Москва, Россия, 119136;+7 (499) 707-20-77, +7 (903) 610-66-75;вт-сб 10:00-19:00;https://ssangyong-garage.ru/
Амазон-АС;Боровское ш., 13, Москва;+7 (901) 516-39-94, +7 (977) 808-22-62, +7 (999) 869-54-00, +7 (495) 972-42-22;"пн-пт 10:00–20:00; сб 11:00–18:00";https://volvo-saab.ru/
Диджитроник;Ильменский пр., 9, стр. 1, Москва;+7 (495) 255-27-23, 8 (800) 775-25-23;"пн-чт 08:30–17:00; пт 08:30–15:00";http://www.digitronicgas.ru/
Мобискар;ул. Вавилова, 13А, Москва;+7 (495) 189-66-79;вт-сб 09:00–18:00;https://mobiscar.ru/
АБС Маркет;Ясеневая ул., вл14с6, Москва;+7 (495) 221-22-92, +7 (495) 399-44-00;ежедневно, 09:00–20:00;https://abs-market.ru/
Комдоравто;Автомобильный пр., вл1с9, торгово-промышленная зона Алтуфьево, посёлок Вешки;+7 (499) 648-20-00;ежедневно, 10:00–18:00;https://komdorauto.ru/
Автопилот;Старопетровский пр., 9А, Москва;+7 (495) 120-20-45;ежедневно, 08:00–21:00;https://честный-автосервис.рф/
Автосервис8;ул. Бирюсинка, 1/18с29, Москва;+7 (968) 486-16-27;пн-пт 10:00–20:00;https://avtoservis8.ru/
Исузу-клуб;ул. Адмирала Лазарева, 34, Москва;+7 (968) 913-04-81, +7 (905) 542-96-96;пн-сб 09:00–19:00;https://isuzu-club.net/
АмдЗап;ул. Красного Маяка, 16, Москва;+7 (495) 127-61-18;ежедневно, 09:00–20:00;https://amdzap.ru/
Apex.ru;Алтуфьевское ш., 28;8 (800) 555-79-68, 8 (800) 775-89-89, +7 (925) 091-34-84, +7 (499) 455-01-58;ежедневно, 09:00–21:00;http://apex.ru/
Автотехцентр;Севастопольский просп., 95Б, стр. 1, Москва;+7 (495) 150-99-73;ежедневно, 08:00–22:00;https://remont-vnedorozhnikov.ru/
АнтАвто;Дубнинская ул., 83А, Москва;+7 (495) 233-14-99, +7 (925) 005-05-08;"пн-пт 10:00–21:00; сб,вс 11:00–19:00";http://www.autoant.ru/
Carlife сервис;ул. Мнёвники, 1, стр. 5;+7 (968) 198-83-22, 8 (800) 201-15-45;ежедневно, 09:00–21:00;http://carlifes.ru/
МастерТурбо;Автомоторная ул., 1/3, Москва;+7 (495) 660-85-76, 8 (800) 707-06-42;"пн-пт 09:00–19:00; сб 10:00–14:00";https://msk.turbolider.ru/
LRstyle;Рябиновая ул., 34А, стр. 6, Москва;+7 (925) 507-69-73, +7 (925) 507-71-08;ежедневно, 09:00–21:00;https://lrstyle-auto.ru/
ДЖоуль;Кавказский б-р, 59 строение 4, Москва, Россия, 115516;+7 (926) 382-61-79;ежедневно, 09:00-21:00;https://dzhoul-kavkazskij-bulvar.clients.site/
Чекавто;ул. Поляны, 6, Москва;+7 (926) 327-00-07, +7 (903) 968-47-31, +7 (495) 711-02-35;ежедневно, 09:00–20:00;http://check-auto.ru/
Разборка-Москва;Каширское ш., 45, стр. 3;+7 (903) 733-62-05, +7 (963) 993-22-24;пн-сб 10:00–19:00;http://www.razborka-moskva.ru/
Бисмарк-Авто;просп. Мира, 186А, стр. 20, Москва;+7 (499) 394-51-05, +7 (926) 271-08-30;ежедневно, 11:00–21:00;https://www.bismarkauto.ru/
Авто Запад Моторс;ул. Мичуринский Проспект, Олимпийская Деревня, 4, корп. 32, Москва;+7 (499) 340-05-25, +7 (916) 230-66-76, +7 (985) 420-86-58;"пн-пт 10:00–20:00; сб 10:00–16:00";https://azmservice.ru/
Автодом Ауди Алтуфьево;МКАД, 85-й километр, вл5с1, торгово-промышленная зона Алтуфьево, посёлок Вешки;+7 (495) 126-37-46;ежедневно, 08:00–21:00;https://avtodom.ru/
АвтоСпецЦентр центральный офис;Михайловский пр., 3, стр. 3, Москва;+7 (495) 785-55-05, +7 (495) 172-75-84;ежедневно, 09:00–21:00;http://www.ascgroup.ru/
Авто Стайл;Рябиновая ул., 9, стр. 2, Москва;+7 (915) 006-71-76, +7 (926) 077-21-01;ежедневно, 10:00–22:00;http://autostyle-mos.ru/
Шикана;Хлебозаводский пр., 7А, Москва;+7 (915) 238-53-76;ежедневно, 09:00–21:00;https://shikana.pro/
Мазда-СТО;ул. Василия Петушкова, 3, корп. 3, стр. 18, Москва;+7 (499) 372-18-20;"пн-пт 10:00–21:00; сб,вс 10:00–20:00";https://mz-sto.ru/
